Input Size	Execution Time (seconds)
10	1.00e-06
10	1.00e-06
10	0.00e+00
10	1.00e-06
10	1.00e-06
10	2.00e-06
10	1.00e-06
10	1.00e-06
10	1.00e-06
10	2.00e-06
10	0.00e+00
10	1.00e-06
10	1.00e-06
10	1.00e-06
10	1.00e-06
10	1.00e-06
10	0.00e+00
10	1.00e-06
10	0.00e+00
10	1.00e-06
10	1.00e-06
10	1.00e-06
10	1.00e-06
10	2.00e-06
10	1.00e-06
100	9.00e-06
100	9.00e-06
100	9.00e-06
100	9.00e-06
100	2.80e-05
100	8.00e-06
100	9.00e-06
100	8.00e-06
100	1.00e-05
100	9.00e-06
100	8.00e-06
100	9.00e-06
100	8.00e-06
100	9.00e-06
100	9.00e-06
100	9.00e-06
100	2.80e-05
100	9.00e-06
100	9.00e-06
100	9.00e-06
100	9.00e-06
100	9.00e-06
100	9.00e-06
100	9.00e-06
100	9.00e-06
1000	1.19e-04
1000	1.28e-04
1000	1.21e-04
1000	1.24e-04
1000	1.24e-04
1000	1.23e-04
1000	1.21e-04
1000	2.81e-04
1000	1.23e-04
1000	3.80e-04
1000	1.22e-04
1000	1.21e-04
1000	1.58e-04
1000	1.26e-04
1000	1.20e-04
1000	1.20e-04
1000	1.30e-04
1000	2.66e-04
1000	1.22e-04
1000	1.22e-04
1000	1.21e-04
1000	1.28e-04
1000	1.34e-04
1000	2.42e-04
1000	1.20e-04
